,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
27,Monroe County,,,,,-47%,,West Virginia
28,Morgan County,-32%,-7%,,,-33%,,West Virginia
29,Nicholas County,-37%,+7%,,,-32%,,West Virginia
30,Ohio County,-54%,+14%,-36%,-23%,-37%,+15%,West Virginia
31,Pleasants County,-50%,,,,-57%,,West Virginia
32,Pocahontas County,-74%,,-33%,,-61%,,West Virginia
33,Preston County,-38%,-16%,,,-25%,,West Virginia
34,Putnam County,-35%,-6%,,-25%,-35%,+18%,West Virginia
35,Raleigh County,-39%,-12%,,-40%,-28%,+18%,West Virginia
36,Randolph County,-33%,-1%,,,-16%,,West Virginia
37,Ritchie County,-26%,,,,-52%,,West Virginia
38,Roane County,-8%,,,,-44%,,West Virginia
39,Summers County,+14%,,,,-46%,,West Virginia
40,Taylor County,-18%,+2%,,,-19%,,West Virginia
41,Tucker County,,-14%,,,-37%,,West Virginia
42,Tyler County,,,,,-40%,,West Virginia
43,Upshur County,-26%,-19%,,,-23%,,West Virginia
44,Wayne County,-3%,-6%,,,-30%,+0%,West Virginia
45,Webster County,,,,,-49%,,West Virginia
46,Wetzel County,-42%,-8%,,,-22%,,West Virginia
47,Wirt County,,,,,-53%,,West Virginia
48,Wood County,-45%,-6%,-6%,,-26%,+10%,West Virginia
0,Adams County,-43%,+1%,,,-37%,,Wisconsin
1,Ashland County,-38%,-15%,,,-24%,,Wisconsin
2,Barron County,-42%,-5%,,,-29%,+19%,Wisconsin
3,Bayfield County,-70%,-28%,,,-48%,,Wisconsin
4,Brown County,-50%,-1%,+106%,-71%,-36%,+13%,Wisconsin
5,Buffalo County,-48%,-12%,,,-33%,,Wisconsin
6,Burnett County,-35%,+0%,,,-37%,,Wisconsin
7,Calumet County,-64%,+1%,+193%,,-36%,+27%,Wisconsin
8,Chippewa County,-41%,+9%,,,-26%,+21%,Wisconsin
9,Clark County,-56%,-7%,,,-18%,+17%,Wisconsin
10,Columbia County,-49%,+1%,,-31%,-31%,+22%,Wisconsin
11,Crawford County,-33%,+3%,,,-21%,,Wisconsin
12,Dane County,-63%,-12%,+42%,-56%,-39%,+15%,Wisconsin
13,Dodge County,-31%,+1%,-9%,,-28%,+11%,Wisconsin
14,Door County,-48%,-19%,,,-29%,-2%,Wisconsin
15,Douglas County,-41%,-8%,,,-32%,+22%,Wisconsin
16,Dunn County,-38%,-6%,,-23%,-22%,+20%,Wisconsin
17,Eau Claire County,-58%,-10%,+18%,-9%,-29%,+12%,Wisconsin
18,Florence County,-73%,,,,,,Wisconsin
19,Fond du Lac County,-44%,-9%,+72%,-19%,-27%,+11%,Wisconsin
20,Forest County,-65%,,,,-49%,,Wisconsin
21,Grant County,-39%,+12%,,,-25%,+20%,Wisconsin
22,Green County,-45%,+15%,,,-28%,+23%,Wisconsin
23,Green Lake County,-23%,-5%,,,-22%,,Wisconsin
24,Iowa County,-39%,+3%,,,-31%,+2%,Wisconsin
25,Iron County,-70%,,,,-42%,,Wisconsin
26,Jackson County,-64%,+85%,,-23%,-29%,,Wisconsin
27,Jefferson County,-42%,+13%,-11%,-46%,-29%,+11%,Wisconsin
28,Juneau County,-53%,-1%,,-18%,-30%,+13%,Wisconsin
29,Kenosha County,-49%,-6%,+41%,-41%,-32%,+12%,Wisconsin
30,Kewaunee County,-51%,-9%,,,-29%,,Wisconsin
31,La Crosse County,-53%,-10%,+72%,-8%,-36%,+14%,Wisconsin
32,Lafayette County,-62%,+10%,,,-25%,,Wisconsin
33,Langlade County,-35%,-13%,,,-26%,,Wisconsin
34,Lincoln County,-56%,+18%,,,-28%,+13%,Wisconsin
35,Manitowoc County,-42%,+3%,+81%,,-28%,+12%,Wisconsin
36,Marathon County,-51%,-10%,+11%,,-32%,+11%,Wisconsin
37,Marinette County,-43%,-13%,-15%,,-27%,+14%,Wisconsin
38,Marquette County,-46%,+5%,,,-25%,,Wisconsin
39,Milwaukee County,-47%,-1%,+49%,-41%,-36%,+13%,Wisconsin
40,Monroe County,-37%,-11%,,-22%,-29%,+19%,Wisconsin
41,Oconto County,-43%,+1%,-58%,,-20%,+16%,Wisconsin
42,Oneida County,-51%,-22%,-22%,,-27%,+18%,Wisconsin
43,Outagamie County,-58%,-7%,+80%,-43%,-35%,+13%,Wisconsin
44,Ozaukee County,-50%,-10%,+131%,,-37%,+28%,Wisconsin
45,Pepin County,-36%,,,,-33%,,Wisconsin
46,Pierce County,-50%,+0%,,,-33%,+24%,Wisconsin
47,Polk County,-33%,+10%,+86%,,-32%,+22%,Wisconsin
48,Portage County,-48%,-5%,+29%,,-38%,+24%,Wisconsin
49,Price County,-36%,-19%,,,-41%,,Wisconsin
50,Racine County,-38%,+0%,+68%,-13%,-33%,+12%,Wisconsin
51,Richland County,-35%,,,,-23%,,Wisconsin
52,Rock County,-41%,+6%,+84%,-24%,-33%,+11%,Wisconsin
53,Rusk County,-43%,-17%,,,-42%,,Wisconsin
54,Sauk County,-58%,-1%,+1%,-36%,-45%,+23%,Wisconsin
55,Sawyer County,-42%,-20%,,,-47%,,Wisconsin
56,Shawano County,-44%,-2%,,,-33%,+19%,Wisconsin
57,Sheboygan County,-42%,+8%,+85%,-4%,-31%,+14%,Wisconsin
58,St. Croix County,-43%,-5%,-38%,-35%,-32%,+26%,Wisconsin
59,Taylor County,-35%,+10%,,,-16%,,Wisconsin
60,Trempealeau County,-54%,-3%,,,-24%,+16%,Wisconsin
61,Vernon County,-50%,-14%,,,-19%,+4%,Wisconsin
62,Vilas County,-78%,-26%,-46%,,-39%,,Wisconsin
63,Walworth County,-35%,+12%,+54%,,-34%,+12%,Wisconsin
64,Washburn County,-28%,-40%,,,-28%,,Wisconsin
65,Washington County,-34%,+2%,+92%,-33%,-32%,+13%,Wisconsin
66,Waukesha County,-48%,+4%,+89%,-5%,-35%,+14%,Wisconsin
67,Waupaca County,-31%,+13%,-25%,,-24%,+21%,Wisconsin
68,Waushara County,-41%,+7%,,,-25%,+4%,Wisconsin
69,Winnebago County,-45%,-1%,+141%,-20%,-30%,+12%,Wisconsin
0,Albany County,-40%,-20%,-4%,+8%,-32%,+16%,Wyoming
1,Big Horn County,-37%,-7%,,,-34%,,Wyoming
2,Campbell County,-40%,+8%,,-18%,-28%,+16%,Wyoming
3,Carbon County,-36%,-23%,,-4%,-27%,,Wyoming
4,Converse County,-42%,-9%,,-35%,-27%,,Wyoming
5,Crook County,,,,,-29%,,Wyoming
6,Fremont County,-32%,-8%,,,-31%,+13%,Wyoming
7,Goshen County,-26%,-13%,,,-24%,,Wyoming
8,Hot Springs County,-64%,-20%,-62%,,,,Wyoming
9,Johnson County,-35%,-2%,,,-37%,,Wyoming
10,Laramie County,-38%,-2%,+23%,-16%,-31%,+12%,Wyoming
11,Lincoln County,-51%,-16%,,,-27%,,Wyoming
12,Natrona County,-40%,+2%,+22%,-42%,-33%,+12%,Wyoming
13,Park County,-50%,+12%,,,-25%,+5%,Wyoming
14,Platte County,-21%,-11%,,-38%,-31%,,Wyoming
15,Sheridan County,-51%,+5%,,,-34%,+12%,Wyoming
16,Sublette County,-70%,-33%,,,-40%,,Wyoming
17,Sweetwater County,-35%,+13%,,+15%,-27%,+15%,Wyoming
18,Teton County,-85%,-53%,-63%,-83%,-66%,,Wyoming
19,Uinta County,-31%,-11%,,+2%,-22%,,Wyoming
20,Washakie County,-28%,-23%,,,-40%,,Wyoming
